Layer,Interval_Start,Interval_End,Start_SD,End_SD,Start_Activation,End_Activation,Actual_Start_Percentile,Actual_End_Percentile
8,99.99999,100.0,58.0,73.0,8.3689,10.5419,99.99999000000001,100.0
9,0.0,25.0,-2.0,0.0,-0.5344,0.0149,0.0,98.000468
9,25.0,50.0,-1.0,0.0,-0.2597,0.0149,98.000468,98.000468
9,50.0,75.0,-1.0,0.0,-0.2597,0.0149,98.000468,98.000468
9,75.0,90.0,-1.0,0.0,-0.2597,0.0149,98.000468,98.000468
9,90.0,95.0,-1.0,0.0,-0.2597,0.0149,98.000468,98.000468
9,95.0,99.0,-1.0,3.0,-0.2597,0.8389,98.000468,99.11037400000001
9,99.0,99.9,2.0,16.0,0.5642,4.4094,99.11037400000001,99.906457
9,99.9,99.99,15.0,30.0,4.1348,8.2546,99.906457,99.99022400000001
9,99.99,99.999,29.0,39.0,7.9799,10.7265,99.99022400000001,99.999042
9,99.999,99.9999,38.0,47.0,10.4518,12.9237,99.999042,99.999916
9,99.9999,99.99999,46.0,54.0,12.6491,14.8463,99.999916,99.99999000000001
9,99.99999,100.0,53.0,63.0,14.5716,17.3182,99.99999000000001,100.0
10,0.0,25.0,-2.0,0.0,-0.6726,0.0215,0.0,98.125538
10,25.0,50.0,-1.0,0.0,-0.3255,0.0215,98.125538,98.125538
10,50.0,75.0,-1.0,0.0,-0.3255,0.0215,98.125538,98.125538
10,75.0,90.0,-1.0,0.0,-0.3255,0.0215,98.125538,98.125538
10,90.0,95.0,-1.0,0.0,-0.3255,0.0215,98.125538,98.125538
10,95.0,99.0,-1.0,3.0,-0.3255,1.0628,98.125538,99.1687
10,99.0,99.9,2.0,18.0,0.7157,6.269,99.1687,99.912033
10,99.9,99.99,17.0,27.0,5.9219,9.3927,99.912033,99.992114
10,99.99,99.999,26.0,35.0,9.0456,12.1694,99.992114,99.999116
10,99.999,99.9999,34.0,45.0,11.8223,15.6402,99.999116,99.999909
10,99.9999,99.99999,44.0,55.0,15.2931,19.111,99.999909,99.99999000000001
10,99.99999,100.0,54.0,71.0,18.7639,24.6643,99.99999000000001,100.0
11,0.0,25.0,-2.0,0.0,-0.4059,-0.0566,0.0,60.892674
11,25.0,50.0,-1.0,0.0,-0.2312,-0.0566,60.892674,60.892674
11,50.0,75.0,-1.0,1.0,-0.2312,0.1181,60.892674,94.67385900000001
11,75.0,90.0,0.0,1.0,-0.0566,0.1181,94.67385900000001,94.67385900000001
11,90.0,95.0,0.0,2.0,-0.0566,0.2928,94.67385900000001,96.809681
11,95.0,99.0,1.0,5.0,0.1181,0.8169,96.809681,99.092141
11,99.0,99.9,4.0,11.0,0.6422,1.8651,99.092141,99.923889
11,99.9,99.99,10.0,14.0,1.6904,2.3892,99.923889,99.990581
11,99.99,99.999,13.0,17.0,2.2145,2.9133,99.990581,99.999035
11,99.999,99.9999,16.0,21.0,2.7386,3.6121,99.999035,99.999907
11,99.9999,99.99999,20.0,26.0,3.4374,4.4855,99.999907,99.999992
11,99.99999,100.0,25.0,40.0,4.3108,6.9313,99.999992,100.0
